Apellido,Personas,Porcentaje
COGHI,43,0.00
ESCORCIA,43,0.00
TURCIOS,43,0.00
ROIG,43,0.00
MAFFIOLI,43,0.00
COLOMBARI,43,0.00
ORTUÑO,43,0.00
CARACAS,43,0.00
MYRIE,42,0.00
SABALLO,42,0.00
OROCU,42,0.00
MATUTE,42,0.00
GREEN,42,0.00
MALAVASSI,42,0.00
ARENAS,42,0.00
ARMAS,42,0.00
BEIRUTE,42,0.00
WALSH,42,0.00
OSPINO,42,0.00
FERLINI,42,0.00
CON,42,0.00
ROBLERO,41,0.00
VIDAURRE,41,0.00
ADAMS,41,0.00
ALVARENGA,41,0.00
ROYO,41,0.00
PALADINO,41,0.00
LAM,41,0.00
SANTIESTEBAN,41,0.00
YANG,41,0.00
URCUYO,41,0.00
MOHS,41,0.00
VILLAFRANCA,41,0.00
LAURITO,41,0.00
BOSCHINI,41,0.00
AMORES,40,0.00
SALAMANCA,40,0.00
CASCO,40,0.00
MURRAY,40,0.00
CHIN,40,0.00
THORPE,40,0.00
BENDAÑA,40,0.00
OLIVA,40,0.00
PORTA,40,0.00
ECHEVERRI,40,0.00
NORORI,40,0.00
AREAS,40,0.00
SAUTER,40,0.00
CARRO,40,0.00
CURLING,40,0.00
CUESTA,40,0.00
TRUQUE,40,0.00
MATHIEW,40,0.00
WALKER,39,0.00
LUMBI,39,0.00
TALENO,39,0.00
MORUN,39,0.00
ESTRELLA,39,0.00
ESPINO,39,0.00
CARCAMO,39,0.00
BETETA,39,0.00
GABUARDI,39,0.00
GAGO,39,0.00
SIMON,39,0.00
ARMIJO,39,0.00
GUIER,39,0.00
STANLEY,39,0.00
SALOMON,39,0.00
CHAMBERLAIN,39,0.00
CHOW,39,0.00
GARCES,39,0.00
RIVERO,39,0.00
MORELLI,39,0.00
PINCAY,39,0.00
INNECKEN,39,0.00
LACHNER,39,0.00
MONGALO,39,0.00
SPENCER,38,0.00
TEJADA,38,0.00
LAWSON,38,0.00
FONTANA,38,0.00
LEYTON,38,0.00
TORO,38,0.00
RAPSO,38,0.00
SASSO,38,0.00
HAPPER,38,0.00
ARANDA,38,0.00
SANTILLAN,38,0.00
SOBALBARRO,37,0.00
TOBAL,37,0.00
GIRON,37,0.00
STEELE,37,0.00
TOVAR,37,0.00
TABORDA,37,0.00
USAGA,37,0.00
CARTER,37,0.00
DORADO,37,0.00
OLIVER,37,0.00
ORUE,37,0.00
ARTIÑANO,37,0.00
HENDERSON,37,0.00
VILLASEÑOR,37,0.00
GIRO,37,0.00
MENOCAL,36,0.00
OCON,36,0.00
BENNETT,36,0.00
MONTALBAN,36,0.00
KOPPER,36,0.00
BECERRA,36,0.00
ANDINO,36,0.00
RODAS,36,0.00
PETERS,36,0.00
FRANCESCHI,36,0.00
ARREA,36,0.00
LAMBERT,36,0.00
FATJO,36,0.00
POLINI,36,0.00
HERRADORA,36,0.00
RENDON,36,0.00
CANIZALES,36,0.00
MENANI,36,0.00
AUBERT,36,0.00
RIOTTE,36,0.00
FAERRON,35,0.00
ABREGO,35,0.00
BATRES,35,0.00
ESPINALES,35,0.00
ESCOTO,35,0.00
MILANES,35,0.00
LANZAS,35,0.00
VERA,35,0.00
VERGARA,35,0.00
LAO,35,0.00
ESTEBAN,35,0.00
AGUIAR,35,0.00
PARADA,35,0.00
VELASCO,35,0.00
NICARAGUA,35,0.00
CALLEJA,35,0.00
COCA,35,0.00
BLEN,35,0.00
DE LA TORRE,35,0.00
SOLER,35,0.00
FRINI,35,0.00
POMARES,34,0.00
DITTEL,34,0.00
SIEZAR,34,0.00
GONZAGA,34,0.00
VALLES,34,0.00
MITCHELL,34,0.00
PALMER,34,0.00
BERTARIONI,34,0.00
BAEZA,34,0.00
MALAVASI,34,0.00
LONDOÑO,34,0.00
SANDIGO,34,0.00
CANTERO,34,0.00
REAL,34,0.00
TORIBIO,34,0.00
OSPINA,34,0.00
GROSS,34,0.00
BUJAN,34,0.00
REGIDOR,34,0.00
GALAGARZA,33,0.00
DIJERES,33,0.00
PULIDO,33,0.00
REYNOLDS,33,0.00
HOOKER,33,0.00
LEMUS,33,0.00
ACHI,33,0.00
SAWYERS,33,0.00
BATALLA,33,0.00
HUTCHINSON,33,0.00
