Apellido,Personas,Porcentaje
LORENZO,10,0.00
BABB,10,0.00
MONGRIO,10,0.00
DALORZO,10,0.00
PASTORA,10,0.00
PEARSON,10,0.00
DEL CASTILLO,10,0.00
CHARPANTIER,10,0.00
FLOREZ,10,0.00
LOSILLA,10,0.00
DE LEMOS,10,0.00
SANTANDER,10,0.00
KINDERSON,10,0.00
GUARDIOLA,10,0.00
ROSA,10,0.00
BOTERO,10,0.00
GROSSI,10,0.00
HADGES,10,0.00
CONCHA,10,0.00
ULIBARRI,10,0.00
MONJARRE,10,0.00
QUIJANO,9,0.00
FOSTER,9,0.00
TALENO,9,0.00
OLMOS,9,0.00
SIEZAR,9,0.00
COLE,9,0.00
SABALLO,9,0.00
SCHMIDT,9,0.00
BECKFORD,9,0.00
DARCIA,9,0.00
GONZAGA,9,0.00
FARRIER,9,0.00
BORGES,9,0.00
OROCU,9,0.00
CRAWFORD,9,0.00
PITTI,9,0.00
FUNG,9,0.00
UMANZOR,9,0.00
IRIGOYEN,9,0.00
MARROQUIN,9,0.00
BRAIS,9,0.00
ESCORCIA,9,0.00
GADEA,9,0.00
PARIS,9,0.00
MARCIA,9,0.00
POWELL,9,0.00
JUNES,9,0.00
GALIANO,9,0.00
BARNETT,9,0.00
SERAVALLI,9,0.00
LYNCH,9,0.00
CHAMBERS,9,0.00
BARKER,9,0.00
PARKER,9,0.00
BARRAGAN,9,0.00
VINCENTI,9,0.00
DORADO,9,0.00
ECHEVERRI,9,0.00
ORTUÑO,9,0.00
SUNSIN,9,0.00
GARZON,9,0.00
LORIO,9,0.00
PARADA,9,0.00
FERLINI,9,0.00
CAICEDO,9,0.00
YONG,9,0.00
WILLIAMSON,9,0.00
ZHANG,9,0.00
BARRETO,9,0.00
OCAMPOS,9,0.00
GONZALES,9,0.00
MESA,9,0.00
MESEGUER,9,0.00
HUTT,9,0.00
LOZA,9,0.00
WARD,9,0.00
ACEDO,9,0.00
MARTI,9,0.00
MULLER,9,0.00
FIATT,9,0.00
MOLINARI,9,0.00
REÑAZCO,9,0.00
LANDAVERDE,9,0.00
BURGALIN,9,0.00
ERAZO,9,0.00
NAJARRO,9,0.00
GENE,9,0.00
NEGRINI,9,0.00
REQUENO,9,0.00
BUCAN,9,0.00
VALDERRAMOS,8,0.00
LOZANO,8,0.00
AMORES,8,0.00
ARGUETA,8,0.00
LAGOS,8,0.00
TELLO,8,0.00
MALTEZ,8,0.00
COOPER,8,0.00
MONTALBAN,8,0.00
CARMIOL,8,0.00
HARRIS,8,0.00
JAUBERT,8,0.00
ESCOTO,8,0.00
