Apellido,Personas,Porcentaje
COOPER,178,0.01
MONTES DE OCA,178,0.01
MORRIS,178,0.01
ONDOY,178,0.01
POLANCO,176,0.00
BELLIDO,175,0.00
CAVALLINI,175,0.00
ORDEÑANA,175,0.00
ROSTRAN,175,0.00
ARRONES,174,0.00
DORMOND,172,0.00
GALLEGOS,172,0.00
MARADIAGA,172,0.00
BECKFORD,171,0.00
MC LEAN,171,0.00
PALOMO,171,0.00
ARGUIJO,170,0.00
VAGLIO,170,0.00
DARCIA,169,0.00
INFANTE,168,0.00
MONTALBAN,168,0.00
GONZAGA,167,0.00
MATTEY,167,0.00
CARDOZA,166,0.00
GAYLE,166,0.00
GURDIAN,166,0.00
PICON,166,0.00
ROBLERO,166,0.00
ADANIS,165,0.00
GARRIDO,164,0.00
GRAJALES,164,0.00
VALLES,164,0.00
EVANS,163,0.00
GAZEL,163,0.00
BERNARD,162,0.00
DOUGLAS,162,0.00
MC DONALD,162,0.00
VIDAURRE,162,0.00
JEREZ,161,0.00
ABREGO,160,0.00
ADAMS,160,0.00
ROSAS,160,0.00
BELTRAN,159,0.00
FARRIER,158,0.00
MITCHELL,158,0.00
ROSS,158,0.00
ABRAHAMS,157,0.00
BALDELOMAR,157,0.00
ECHAVARRIA,157,0.00
MONTERROSA,157,0.00
PALAVICINI,157,0.00
PATTERSON,157,0.00
TORTOS,157,0.00
VILLAPLANA,157,0.00
BATRES,156,0.00
REINA,156,0.00
GARNIER,155,0.00
KOPPER,155,0.00
COLOMER,154,0.00
PRADA,154,0.00
QUIROZ,154,0.00
BORGES,153,0.00
CARMIOL,153,0.00
COGHI,153,0.00
JARAMILLO,153,0.00
OROCU,153,0.00
BENITEZ,152,0.00
CISNERO,152,0.00
CRAWFORD,152,0.00
HINES,152,0.00
RUBIO,152,0.00
CASCO,151,0.00
OLSEN,151,0.00
FOURNIER,150,0.00
LIN,150,0.00
PASTOR,150,0.00
ZHENG,150,0.00
HARRIS,149,0.00
NOVO,148,0.00
ESPINALES,147,0.00
GRILLO,147,0.00
PILARTE,147,0.00
PINNOCK,146,0.00
PULIDO,145,0.00
RODA,145,0.00
BACA,144,0.00
SOBRADO,144,0.00
ROBERT,143,0.00
ESTELLER,142,0.00
JAUBERT,142,0.00
OBALDIA,142,0.00
BARTELS,141,0.00
PITTI,141,0.00
ARTIAGA,140,0.00
DESANTI,140,0.00
LAMAS,140,0.00
MACOTELO,140,0.00
PARDO,139,0.00
VENTURA,139,0.00
VILLA,139,0.00
CUNNINGHAM,138,0.00
CARBONERO,137,0.00
CID,137,0.00
ESTRELLA,137,0.00
PERERA,137,0.00
ECHANDI,136,0.00
ESCOTO,136,0.00
FUNG,136,0.00
DE LEON,135,0.00
MITRE,135,0.00
SANARRUSIA,135,0.00
BARILLAS,134,0.00
HUANG,134,0.00
OQUENDO,134,0.00
RICHARDS,134,0.00
MURRAY,133,0.00
CUEVAS,132,0.00
LAWRENCE,132,0.00
MATHIEU,132,0.00
NG,132,0.00
OTERO,132,0.00
CUENDIS,131,0.00
GRANJA,131,0.00
LEMAITRE,131,0.00
MUÑIZ,131,0.00
VAZQUEZ,131,0.00
FEOLI,130,0.00
MATUTE,130,0.00
GREEN,129,0.00
MERINO,129,0.00
TOBAL,129,0.00
UMANZOR,129,0.00
IRIGOYEN,128,0.00
DE LA CRUZ,127,0.00
SPENCER,127,0.00
MARROQUIN,126,0.00
TABLADA,126,0.00
VALDERRAMA,126,0.00
VIGIL,126,0.00
CASERES,125,0.00
RESTREPO,125,0.00
URRUTIA,125,0.00
GALARZA,124,0.00
HUEZO,124,0.00
PAISANO,124,0.00
PALMER,124,0.00
PANA,124,0.00
BROOKS,123,0.00
BRUNO,123,0.00
HUDSON,123,0.00
MENJIVAR,123,0.00
WALTERS,123,0.00
ABADIA,122,0.00
CARCACHE,122,0.00
LUGO,122,0.00
SILESKY,122,0.00
LANG,121,0.00
CHENG,120,0.00
MARRERO,120,0.00
BRAIS,119,0.00
LOAISIGA,119,0.00
MILANES,119,0.00
QUIÑONES,119,0.00
ROSES,119,0.00
ESCORCIA,118,0.00
PAREDES,118,0.00
GONZALO,117,0.00
MALDONADO,117,0.00
QUEDO,117,0.00
WANG,117,0.00
FUMERO,116,0.00
LATINO,116,0.00
NIÑO,116,0.00
NOEL,116,0.00
YGLESIAS,116,0.00
ALI,115,0.00
FUERTES,115,0.00
HOWARD,115,0.00
MC CARTHY,115,0.00
MONGRILLO,115,0.00
SING,115,0.00
TURCIOS,115,0.00
BECERRA,114,0.00
CORDONCILLO,114,0.00
GADEA,114,0.00
PASTRANO,113,0.00
BARTH,112,0.00
BLACKWOOD,112,0.00
LIOS,112,0.00
ROWE,112,0.00
BALDIZON,111,0.00
PARIS,111,0.00
PITA,111,0.00
TABASH,111,0.00
ARTEAGA,110,0.00
HERRERO,110,0.00
LAURENT,110,0.00
MUSSIO,110,0.00
ORLICH,110,0.00
SOMARRIBA,110,0.00
WALLACE,110,0.00
BUSTO,109,0.00
ESPINO,109,0.00
TERAN,109,0.00
UBAU,109,0.00
VOLIO,109,0.00
ANTILLON,108,0.00
GIRON,108,0.00
GRAHAM,108,0.00
LIANG,108,0.00
LIU,108,0.00
VILLAR,108,0.00
BERNAL,107,0.00
ROSABAL,107,0.00
URROZ,107,0.00
CARCAMO,106,0.00
CATON,106,0.00
MARCIA,106,0.00
MOSCOA,106,0.00
CALDERA,105,0.00
GUELL,105,0.00
INCES,105,0.00
PINZON,105,0.00
TOSSO,105,0.00
YUBANK,105,0.00
PAZOS,104,0.00
POWELL,104,0.00
TEJADA,104,0.00
ANDINO,103,0.00
CHIN,103,0.00
JUNES,103,0.00
LAWSON,103,0.00
PROTTI,103,0.00
SORO,103,0.00
ALVARENGA,102,0.00
ASCH,102,0.00
BARRETT,102,0.00
BETETA,102,0.00
CRESPO,102,0.00
KEITH,102,0.00
LANZAS,102,0.00
MALAVASSI,102,0.00
RETES,102,0.00
SAUREZ,102,0.00
TORRENTE,102,0.00
UNFRIED,102,0.00
ARAUJO,101,0.00
CERNAS,101,0.00
GUDIEL,101,0.00
MAINIERI,101,0.00
PASTRAN,101,0.00
ZAVALETA,101,0.00
BAKER,100,0.00
DANIELS,100,0.00
MEJICANO,100,0.00
PESSOA,100,0.00
CANESSA,99,0.00
NOVA,99,0.00
POCHET,99,0.00
UJUETA,99,0.00
ALANIZ,98,0.00
ALAS,98,0.00
BALDIOCEDA,98,0.00
CARRASCO,98,0.00
MAY,98,0.00
PINO,97,0.00
SOBALVARRO,97,0.00
THORPE,97,0.00
VELIZ,97,0.00
BINNS,96,0.00
DONATO,96,0.00
GABUARDI,96,0.00
GIRALDO,96,0.00
GOLCHER,96,0.00
MENDIOLA,96,0.00
COLINDRES,95,0.00
GALIANO,95,0.00
ROYO,95,0.00
STEELE,95,0.00
TUCKER,95,0.00
AJUN,94,0.00
ARANGO,94,0.00
BERTARIONI,94,0.00
LEVY,94,0.00
POLTRONIERI,94,0.00
TAISIGUE,94,0.00
TROYO,94,0.00
GUSTAVINO,93,0.00
MAITLAND,93,0.00
APONTE,92,0.00
BENT,92,0.00
CABRACA,92,0.00
MENENDEZ,92,0.00
PALADINO,92,0.00
UBA,92,0.00
DOWNS,91,0.00
DRUMMOND,91,0.00
FALCON,91,0.00
MERLO,91,0.00
PERLAZA,91,0.00
REYNOLDS,91,0.00
SAN LEE,91,0.00
WEST,91,0.00
JOSEPH,90,0.00
LOGAN,90,0.00
OSEGUEDA,90,0.00
SOTOMAYOR,90,0.00
UBEDA,90,0.00
VERA,90,0.00
ACHOY,89,0.00
BAEZA,89,0.00
DONDI,89,0.00
PRUDENTE,89,0.00
RAUDES,89,0.00
LATOUCHE,88,0.00
MALAVASI,88,0.00
SOLEY,88,0.00
ARENAS,87,0.00
CARUZO,87,0.00
GOULD,87,0.00
OCONOR,87,0.00
OLMAZO,87,0.00
VILLATORO,87,0.00
BARNETT,86,0.00
BOSQUE,86,0.00
HOWELL,86,0.00
JOHANNING,86,0.00
ROSE,86,0.00
SERAVALLI,86,0.00
BENDAÑA,85,0.00
CARDENAL,85,0.00
LAFUENTE,85,0.00
LAM,85,0.00
QUEVEDO,85,0.00
ARCEYUT,84,0.00
BEECHE,84,0.00
HARLEY,84,0.00
LYNCH,84,0.00
PAIS,84,0.00
RODAS,84,0.00
TAMAYO,84,0.00
URIETA,84,0.00
BARRENECHEA,83,0.00
BURKE,83,0.00
GAGO,83,0.00
GUARDADO,83,0.00
AIZA,82,0.00
GOYENAGA,82,0.00
HANSON,82,0.00
IVANKOVICH,82,0.00
MARIÑO,82,0.00
SOSSA,82,0.00
WASHINGTON,82,0.00
ASENJO,81,0.00
